,OAT
2018-02-28 03:22:00,33777.9856458
2018-02-28 03:23:00,33777.9856458
2018-02-28 03:24:00,33773.8331318
2018-02-28 03:25:00,33777.9856458
2018-02-28 03:26:00,33761.3755898
2018-02-28 03:27:00,33765.5281038
2018-02-28 03:28:00,33761.3755898
2018-02-28 03:29:00,33769.6806178
2018-02-28 03:30:00,33773.8331318
2018-02-28 03:31:00,33769.6806178
2018-02-28 03:32:00,33769.6806178
2018-02-28 03:33:00,33765.5281038
2018-02-28 03:34:00,33777.9856458
2018-02-28 03:35:00,33794.5957018
2018-02-28 03:36:00,33782.1381598
2018-02-28 03:37:00,33777.9856458
2018-02-28 03:38:00,33777.9856458
2018-02-28 03:39:00,33777.9856458
2018-02-28 03:40:00,33769.6806178
2018-02-28 03:41:00,33765.5281038
2018-02-28 03:42:00,33761.3755898
2018-02-28 03:43:00,33757.2230758
2018-02-28 03:44:00,33753.0705618
2018-02-28 03:45:00,33761.3755898
2018-02-28 03:46:00,33761.3755898
2018-02-28 03:47:00,33769.6806178
2018-02-28 03:48:00,33753.0705618
2018-02-28 03:49:00,33761.3755898
2018-02-28 03:50:00,33769.6806178
2018-02-28 03:51:00,33769.6806178
2018-02-28 03:52:00,33769.6806178
2018-02-28 03:53:00,33769.6806178
2018-02-28 03:54:00,33757.2230758
2018-02-28 03:55:00,33748.9180478
2018-02-28 03:56:00,33753.0705618
2018-02-28 03:57:00,33744.7655338
2018-02-28 03:58:00,33753.0705618
2018-02-28 03:59:00,33753.0705618
2018-02-28 04:00:00,33744.7655338
